chunk_id,document_id,department,category,question,answer,related_ids,locale,version
RH-FAQ-001,RH-FAQ-ES,rh,incorporación,¿Dónde encuentro mi lista de incorporación?,"La lista se encuentra en el Manual de bienvenida, sección RH-ONB-003, y debe adaptarse al cargo junto con la persona responsable.",RH-ONB-003,es-CL,1.1
RH-FAQ-002,RH-FAQ-ES,rh,accesos,¿Qué hago si me falta un acceso?,"Solicita el acceso por el canal interno definido, indicando sistema, motivo laboral y responsable que lo aprueba. Los permisos se conceden según función y mínimo privilegio.",RH-ONB-003|RH-ONB-005,es-CL,1.1
RH-FAQ-003,RH-FAQ-ES,rh,remoto,¿Puedo cambiar mi modalidad de trabajo?,Los cambios de modalidad deben coordinarse con la persona responsable y Recursos Humanos y documentarse por el canal correspondiente.,RH-REM-002,es-CL,1.1
RH-FAQ-004,RH-FAQ-ES,rh,seguridad,¿Qué hago si pierdo un equipo?,"Reporta inmediatamente la pérdida por los canales internos de seguridad y soporte. No publiques contraseñas, tokens ni información sensible en el ticket.",RH-REM-008|RH-ONB-005,es-CL,1.1
RH-FAQ-005,RH-FAQ-ES,rh,documentación,¿Dónde registro acuerdos de una reunión?,"Registra decisiones, responsables y fechas objetivo en NexusFlow o en el sistema corporativo definido por el equipo.",RH-REM-007|RH-ONB-006,es-CL,1.1
RH-FAQ-006,RH-FAQ-ES,rh,aprendizaje,¿Cómo solicito formación?,Acuerda la necesidad y el objetivo de aprendizaje con tu responsable y utiliza el proceso interno vigente para su revisión.,RH-ONB-007,es-CL,1.1
RH-FAQ-007,RH-FAQ-ES,rh,datos personales,¿Cómo actualizo información personal?,Utiliza el canal seguro de Recursos Humanos definido por la organización. No envíes documentos personales por canales públicos o no autorizados.,PRIV-009,es-CL,1.1
RH-FAQ-008,RH-FAQ-ES,rh,salida,¿Qué ocurre con accesos y activos al finalizar una relación laboral?,"Recursos Humanos y TI coordinan transferencia de responsabilidades, devolución de activos y cierre o ajuste de accesos.",RH-ONB-008,es-CL,1.1
RH-FAQ-009,RH-FAQ-ES,rh,conducta,¿Cómo reporto una posible infracción al código de conducta?,"Usa el canal confidencial definido por la organización. El reporte debe describir hechos, fechas y evidencia disponible sin difundir información innecesaria.",RH-COND-006,es-CL,1.1
RH-FAQ-010,RH-FAQ-ES,rh,políticas,¿Qué documento prevalece si hay diferencias?,"El contrato, anexos y políticas oficialmente vigentes prevalecen sobre estos documentos demostrativos.",RH-COND-001,es-CL,1.1
